,querySample,expectedElectivesInOrder,expectedElectivesInOrderSumWordCount,queryType
10,"simulation, word, genre, learn, question","['40.319 Statistical and Machine Learning', '50.045 Information Retrieval', '40.321 Airport Systems Modelling and Simulation', '50.033 Foundations of Game Design and Development', '50.007 Machine Learning', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
11,"python, principle, ampl, simulation, probability","['50.045 Information Retrieval', '40.321 Airport Systems Modelling and Simulation', '50.021 Artificial Intelligence', '50.007 Machine Learning', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '50.033 Foundations of Game Design and Development', '40.319 Statistical and Machine Learning', '50.046 Cloud Computing and Internet of Things', '40.320 Airport Systems Planning and Design']","[3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
12,"aviation, answer, autocad, embeddings, calculation","['50.045 Information Retrieval', '40.240 Investment Science', '40.242 Derivative Pricing and Risk Management', '40.321 Airport Systems Modelling and Simulation', '50.007 Machine Learning', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design']","[2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
13,"technology, element, autocad, representation, cleaning","['50.006 User Interface Design and Implementation', '50.038 Computational Data Science', '40.321 Airport Systems Modelling and Simulation', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design']","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
14,"retrieval, solidity, ec, personal, feedback","['50.045 Information Retrieval', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.316 Game Theory', '50.037 Blockchain Technology', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design']","[3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
15,"forecasting, database, user, machine, space","['50.006 User Interface Design and Implementation', '40.319 Statistical and Machine Learning', '50.033 Foundations of Game Design and Development', '50.007 Machine Learning', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.045 Information Retrieval', '40.321 Airport Systems Modelling and Simulation', '40.323 Equity Valuation', '40.320 Airport Systems Planning and Design', '50.046 Cloud Computing and Internet of Things']","[4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
16,"flow, sketch, skill, ir, valuation","['50.006 User Interface Design and Implementation', '50.045 Information Retrieval', '40.323 Equity Valuation', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design']","[3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
17,"vector, brainstorming, wireframing, pytorch, prototyping","['50.006 User Interface Design and Implementation', '40.319 Statistical and Machine Learning', '50.039 Theory and Practice of Deep Learning', '50.045 Information Retrieval', '50.021 Artificial Intelligence', '50.033 Foundations of Game Design and Development', '40.323 Equity Valuation', '40.321 Airport Systems Modelling and Simulation', '40.320 Airport Systems Planning and Design', '50.046 Cloud Computing and Internet of Things']","[4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1
18,"math, relevance, technology, graph, understand","['40.319 Statistical and Machine Learning', '40.320 Airport Systems Planning and Design', '50.021 Artificial Intelligence', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory']","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
19,"ui, personal, overview, copywriting, genre","['50.006 User Interface Design and Implementation', '50.033 Foundations of Game Design and Development', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '50.046 Cloud Computing and Internet of Things', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design']","[3.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
20,"handle, nash, search, question, personal","['40.316 Game Theory', '50.045 Information Retrieval', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design']","[2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
21,"retrieval, ampl, service, math, vector","['50.045 Information Retrieval', '40.240 Investment Science', '40.242 Derivative Pricing and Risk Management', '40.317 Financial Systems Design', '40.319 Statistical and Machine Learning', '40.321 Airport Systems Modelling and Simulation', '40.323 Equity Valuation', '50.007 Machine Learning', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
22,"wireframing, calculation, forecasting, maze, aspect","['50.006 User Interface Design and Implementation', '40.240 Investment Science', '40.242 Derivative Pricing and Risk Management', '40.321 Airport Systems Modelling and Simulation', '50.007 Machine Learning', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory', '40.317 Financial Systems Design', '40.318 Supply Chain Digitalisation and Design']","[3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
23,"probability, usability, python, answer, cast","['50.045 Information Retrieval', '50.006 User Interface Design and Implementation', '50.021 Artificial Intelligence', '50.007 Machine Learning', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.321 Airport Systems Modelling and Simulation', '40.319 Statistical and Machine Learning', '40.320 Airport Systems Planning and Design', '40.323 Equity Valuation']","[4.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
24,"info, history, chain, genre, search","['50.033 Foundations of Game Design and Development', '40.260 Supply Chain Management', '40.318 Supply Chain Digitalisation and Design', '40.320 Airport Systems Planning and Design', '40.321 Airport Systems Modelling and Simulation', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1
25,"statistic, learn, logistics, building, network","['40.319 Statistical and Machine Learning', '50.007 Machine Learning', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.318 Supply Chain Digitalisation and Design', '50.021 Artificial Intelligence', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '50.006 User Interface Design and Implementation', '40.242 Derivative Pricing and Risk Management']","[4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
26,"unity, element, vector, urban, game","['50.033 Foundations of Game Design and Development', '50.006 User Interface Design and Implementation', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '40.319 Statistical and Machine Learning', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[7.0, 2.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1
27,"design, element, customize, life, database","['50.006 User Interface Design and Implementation', '50.043 Database Systems / Database and Big Data Systems (for class 2021)', '40.316 Game Theory', '40.320 Airport Systems Planning and Design', '50.033 Foundations of Game Design and Development', '40.321 Airport Systems Modelling and Simulation', '50.045 Information Retrieval', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management']","[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1
28,"autocad, unity, figma, tensorflow, adobe","['50.006 User Interface Design and Implementation', '50.038 Computational Data Science', ' 50.035 Computer Vision', '50.033 Foundations of Game Design and Development', '40.321 Airport Systems Modelling and Simulation', '50.046 Cloud Computing and Internet of Things', '40.242 Derivative Pricing and Risk Management', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic', '40.316 Game Theory']","[4.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
29,"service, machine, relevance, technology, understand","['40.319 Statistical and Machine Learning', '40.240 Investment Science', '50.007 Machine Learning', '40.242 Derivative Pricing and Risk Management', '40.317 Financial Systems Design', '40.320 Airport Systems Planning and Design', '40.323 Equity Valuation', '50.045 Information Retrieval', '40.260 Supply Chain Management', '40.302 Advanced Optim/ 40.305 Advanced Stochastic']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",1
